Names,Website,Phone Number,Address,Review Count,Average Review Count,Delivery,Type,Opens At
Shimizu Corporation India Pvt Ltd,shimz-global.com,08043567777,"No.74, 4th Floor, Prestige Feroze” Building, Unit 402, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560052",81.0,4.2,No,Civil engineer, Opens 8am Sun
Vijaya Enterprises,vijaya.in,07676555444,"Sunkenahalli, Gavipuram Extn, Gavipuram Extention, Kempegowda Nagar, Bengaluru, Karnataka 560004",49.0,4.6,No,Real Estate Builders & Construction Company, Opens 10am Mon
Maloo Constructions,,08022264530,"A204, 25, Kalidasa Marg, Gandhi Nagar, Bengaluru, Karnataka 560009",8.0,4.9,No,Real Estate Builders & Construction Company,
Shankarnarayana Constructions Private Limited (SNC),ssncindia.co.in,08022109544,"No.9, Raja Ram Mohan Roy Rd, Ashok Nagar, Bengaluru, Karnataka 560025",54.0,4.1,No,Civil engineering company, Opens 8:30am Mon
Fortune Smart Builders,fortunesmartbuilders.com,07026986194,"metro station, No, 1st Main Rd, near srirampur, Nagapablock, Bengaluru, Karnataka 560021",49.0,5.0,No,Real Estate Builders & Construction Company, Opens 9am Mon
CIVIL ENGINEERING CONSTRUCTION COMPANY- CECC,,08041499372,"2nd floor, #48/33, 50 Feet Main Rd, Srinivasanagara, Hanumanthnagar, Banashankari 1st Stage, Basavanagudi, Bengaluru, Karnataka 560019",9.0,4.9,No,Real Estate Builders & Construction Company, Closes 5:30am Sun
Sahana Engineers-construction,sahanaengineers.com,09845018483,"No.38/39/8, 2nd cross, Subramanya Pura Main Road Kadirenahalli, Banashankari Stage II, Bengaluru, Karnataka 560070",9.0,4.8,No,Real Estate Builders & Construction Company,
CIVIL CONTRACTORS IN BANGALORE,,09164949900,"No-849,1st Floor, 4th Main Road, 12th Cross, Opp.Ashraya PlayHome, Near BDA, Complex, 1st Stage, Indiranagar, Bengaluru, Karnataka 560038",33.0,3.5,No,Real Estate Builders & Construction Company, Opens 10am Mon
RAMALINGAM CONSTRUCTION COMPANY PVT LTD,ramalingam.in,08026744889,"NO : 1 , NR TOWER, SIRSI CIRCLE TO BINNY MILL ROAD, NEAR ETA NAMMA MALL, Ranganatha Colony, Bengaluru, Karnataka 560023",6.0,4.3,No,Real Estate Builders & Construction Company,
RAMALINGAM CONSTRUCTION COMPANY PVT LTD,ramalingam.in,08026744889,"NO : 1 , NR TOWER, SIRSI CIRCLE TO BINNY MILL ROAD, NEAR ETA NAMMA MALL, Ranganatha Colony, Bengaluru, Karnataka 560023",91.0,4.3,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
C.K Construction (Builder's & Contractor's) ),ckconstructionbangalore.com,06361456122,,13.0,4.7,No,Real Estate Builders & Construction Company, Opens 9am Sun
VR masonry civil & renovation Bangalore,sites.google.com,09113280297,"803 1st floor, 8th Cross Rd, near chennammankkre, Manjunatha Colony, Thyagaraja Nagar, Banashankari, Bengaluru, Karnataka 560070",73.0,4.9,No,Masonry contractor, Opens 9am Mon
S V Constructions,sv-constructions.com,08026721381,"95, 95/1, 4th cross, Timmaraya gowda layout, Ittamadu, Banashankari 3rd Stage, Bengaluru, Karnataka 560085",16.0,4.8,No,Real Estate Builders & Construction Company,
SK Constructions,skconstruction.info,08088180061,"7/5, 2nd Main Road, Dattatreya Nagar, Banashankari 3rd Stage, Hosakerehalli, Bengaluru, Karnataka 560085",56.0,5.0,No,Real Estate Builders & Construction Company, Opens 9am Mon
VEERA CONSTRUCTIONS,,09663666399,"1565, 5th Cross Road, 17th Main Rd, Mysore Bank Colony, Nagendra Block, Banashankari 1st Stage, Bengaluru, Karnataka 560050",16.0,5.0,No,Civil engineering company,
ABHAYAA Constructions,abhayaa.com,09844251323,"248, 1st Main Rd, Siddhartha Layout, Phase 3, Kathreguppe, Bengaluru, Karnataka 560085",22.0,4.9,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
CIVIL ENGINEERING CONSTRUCTION COMPANY- CECC,,08041499372,"2nd floor, #48/33, 50 Feet Main Rd, Srinivasanagara, Hanumanthnagar, Banashankari 1st Stage, Basavanagudi, Bengaluru, Karnataka 560019",9.0,4.9,No,Real Estate Builders & Construction Company,
SARASWATHI CONSTRUCTION SOLUTIONS,,08971970922,"#18/2, Saraswathi Krupe, 1st main, 23rd cross Manjunathanagar, Ittamadu, Banashankari 3rd Stage, Bengaluru, Karnataka 560085",3.0,5.0,No,Civil engineer, Opens 9am Mon
Usha Construction,ushaconstructions.co.in,08026426980,"150, 3rd floor, Vishwa Bharati HBCS, Girinagar, opp. Radhakrishna Hospital, Bengaluru, Karnataka 560085",37.0,3.8,No,Real Estate Builders & Construction Company, Opens 9am Mon
Multitude Constructions,,09900637146,"Kathriguppe Main Rd, opposite to Reliance Trends, 3rd Phase, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085",20.0,5.0,No,Interior construction contractor,
Nikhit Construction India Private Limited,,09980725374,"79A, 2 Floor, Metro Station Mysore Road, opp. Nayandahalli, Pantarapalya, Nayanda Halli, Bengaluru, Karnataka 560039",47.0,4.7,No,Civil engineering company, Opens 9am Mon
AH Building Demolition Contractor,ahdemolisher.com,08861625486,"2nd Cross Rd, opposite to Samaad Manzil, J P Nagar, BSK Ward, Umarbagh Layout, Banashankari Temple Ward, Bengaluru, Karnataka 560078",14.0,5.0,No,Demolition contractor,
ABHAYAA Constructions,abhayaa.com,09844251323,"248, 1st Main Rd, Siddhartha Layout, Phase 3, Kathreguppe, Bengaluru, Karnataka 560085",22.0,4.9,No,Real Estate Builders & Construction Company, Opens 9am Mon
Fortuna Constructions India Private Limited,fortunaconstructions.com,08029580555,"Fortuna House, #184, 3rd Floor, Oppt.NCERT, Outer Ring Rd, Banashankari 3rd Stage, Bengaluru, 560085",265.0,4.5,No,Real Estate Builders & Construction Company,
S V Constructions,sv-constructions.com,08026721381,"95, 95/1, 4th cross, Timmaraya gowda layout, Ittamadu, Banashankari 3rd Stage, Bengaluru, Karnataka 560085",16.0,4.8,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
VEERA CONSTRUCTIONS,,09663666399,"1565, 5th Cross Road, 17th Main Rd, Mysore Bank Colony, Nagendra Block, Banashankari 1st Stage, Bengaluru, Karnataka 560050",16.0,5.0,No,Civil engineering company, Opens 9am Mon
Feature Constructions,featureconstructions.com,07034830451,"No-19, 3rd Cross Rd, Raghuvanahalli, Bangalore City Municipal Corporation Layout, Bengaluru, Karnataka 560062",48.0,4.8,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
Usha Construction,ushaconstructions.co.in,08026426980,"150, 3rd floor, Vishwa Bharati HBCS, Girinagar, opp. Radhakrishna Hospital, Bengaluru, Karnataka 560085",37.0,3.8,No,Real Estate Builders & Construction Company,
Tectonics Constructions - Construction Companies Bangalore | Best Construction company Bangalore | Civil Contractors,tectonicsconstruction.com,07892833188,"No#53, 3rd Main Rd, near prathyangira devi temple Hillview garden, Jayanagar housing society layout, Subramanyapura, Bengaluru, Karnataka 560061",48.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Sun
AH Building Demolition Contractor,ahdemolisher.com,08861625486,"2nd Cross Rd, opposite to Samaad Manzil, J P Nagar, BSK Ward, Umarbagh Layout, Banashankari Temple Ward, Bengaluru, Karnataka 560078",67.0,5.0,No,Demolition contractor, Opens 9am Mon
S V Constructions,sv-constructions.com,08026721381,"95, 95/1, 4th cross, Timmaraya gowda layout, Ittamadu, Banashankari 3rd Stage, Bengaluru, Karnataka 560085",16.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Mon
HW Constructions Pvt. Ltd.,,08026715394,"3777,1st floor, Kaveri Nagar, Karesandra, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",7.0,4.9,No,Real Estate Builders & Construction Company, Opens 9am Mon
Sanati Builders & Realty Services,sanatibuilders.com,09620479393,"#1238, 23rd Cross, 30th Main Rd, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",15.0,4.5,No,Real Estate Builders & Construction Company,
Matrix Square Properties,,09844240966,"#3524, 1st Floor, 9th Main Rd, Kaveri Nagar, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",7.0,4.6,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
Himagiri constructions and interiors,himagiriconstructions.in,09483152667,"54, 15th Main Rd, Giri Nagar, Nagendra Block, Muneshwara Block, Banashankari, Bengaluru, Karnataka 560027",13.0,4.9,No,Real Estate Builders & Construction Company,
Mahendra Constructions,mahendraconstructions.co.in,07795633373,"29, 176, Outer Ring Rd, Kadarenahalli Park, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",37.0,4.3,No,Real Estate Builders & Construction Company, Opens 10:30am Mon
Annapoorneshwari Engineers Constructions,annapurnaenggconst.com,09480322205,"No.57/1 Nanda Complex 2nd Floor, Annaian reddy layout Ramamurthy nagar main road, Dodda Banaswadi Main Rd, Dodda Banaswadi, Bengaluru, Karnataka 560043",13.0,4.0,No,Real Estate Builders & Construction Company,
Babaji constructions Civil and Interior Contractor,,08884882779,"No, Bengaluru, Karnataka 560043",5.0,5.0,No,Construction and maintenance office, Opens 9am Mon
BuildBidz,buildbidz.in,07975919566,"Anjanadri Enclave, P&T Layout, Horamavu Agara, Kalyan Nagar, Bengaluru, Karnataka 560043",39.0,4.9,No,Real Estate Builders & Construction Company, Opens 9:30am
P.K.Enterprises,pkenterprises.org,09483501860,"Ashirvad colony,1st main,4th 'A' cross, 57, Horamavu Main Rd, Banaswadi, Bengaluru, Karnataka 560043",17.0,5.0,No,Real Estate Builders & Construction Company, Opens 9am Mon
"Manstonez Construction Company, Architects, Interior Designers in Bangalore",,08495888895,"Lakshmi Plaza 1st floor 416 5th Cross Outer Ring Road, Service Rd, Babusapalya, Bengaluru, Karnataka 560043",77.0,4.9,No,Real Estate Builders & Construction Company,
Vinayakaiah Builders & Developers Private Limited,vinayakaiah.com,09663332266,"6, Police Station Road, Balachandra Layout, Babusabpalya, Hennur Gardens, Bengaluru, Karnataka 560043",184.0,5.0,No,Real Estate Builders & Construction Company,
Wellfix Engineers Private Limited,wellfixengineers.com,08884133100,"18, 1st Floor, Muthusri Complex, Dodda Banaswadi Main Road, ORR Above Indian Bank, Near Ramamurthy Nagar Signal, Bengaluru-43, Bengaluru, Karnataka 560043",3.0,5.0,No,Real Estate Builders & Construction Company,
Best construction company in bangalore,,09738983290,"2nd Cross, Hidayath Nagar, Lidkar Colony, Kadugondanahalli, Bengaluru, Karnataka 560045",9.0,4.6,No,Real Estate Builders & Construction Company, Opens 2pm
3D BUILDINGS,3dbuildings.in,09972254831,"VVN Arcade, Shree Rama Residency, Shanthi Layout Main Rd, Muniswamy Reddy Layout, Ramamurthy Nagar, Bengaluru, Karnataka 560016",179.0,4.8,No,Civil engineering company, Opens 9:30am Mon
CTH BUILDERS AND DEVELOPERS PVT LTD,,09880908508,"3rd Floor, GS Towers, No.1, Ramamurthi Nagar Main Rd, opp. NewBaldwin School, Dodda Banaswadi, Bengaluru, Karnataka 560043",6.0,4.5,No,Real Estate Builders & Construction Company,
Rathna Constructions,,09901617927,"#285, 2nd Cross, 9th Main Rd, Bagalakunte, Bengaluru, Karnataka 560073",23.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am
Rathna Constructions,,09901617927,"#285, 2nd Cross, 9th Main Rd, Bagalakunte, Bengaluru, Karnataka 560073",23.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Mon
AR Constructions - Best Construction Company in Bangalore,arconstructions.co.in,09900096776,"1047, 4th B Main Rd, HBR Layout 4th Block, HBR Layout, Bengaluru, Karnataka 560043",2.0,3.0,No,Real Estate Builders & Construction Company, Opens 9am Mon
Axis Concept Construction Pvt. Ltd.,axisconcept.in,08040903022,"555, 9th Cross Rd, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",151.0,4.1,No,Real Estate Builders & Construction Company, Opens 7am Mon
J.S. Construction and Interiors,,09538839986,"32,8th cross smruthi layout, Bannerghatta Main Rd, Hommadevanahalli, Bengaluru, Karnataka 560083",31.0,5.0,No,Real Estate Builders & Construction Company,
BEST CONSTRUCTION COMPANY - MUCONS CONSTRUCTION (OPC) PRIVATE LIMITED,muconsconstruction.com,09535083580,"no. 52, 53, Begur - Hulimavu Rd, Bhagyalakshmi Avenue, Krishna Layout, Hulimavu, Bengaluru, Karnataka 560076",38.0,4.8,No,Real Estate Builders & Construction Company, Opens 10am Sun
MR ENTERPRISE CONSTRUCTION AND INTERIOR DESIGN,,07204121738,"Bannerghatta Rd, near premavijaya convention hall, Kempanayakana Halli, Bengaluru, Karnataka 560083",3.0,5.0,No,Real Estate Builders & Construction Company,
SAB Constructions,,08497864117,"15/16,2nd Cross, Bannerghatta Rd, 3rd Mian, SR Krishnappa Garden, Jayanagar, Bengaluru, Karnataka 560041",1.0,5.0,No,Real Estate Builders & Construction Company, Opens 9am Mon
VINAYAKA CONSTRUCTIONS,vinayakaconstructions.com,08035814844,"20, M.V Complex, Kothnur Dinne Main Rd, opp. Union Bank, Navodaya Nagar, JP Nagar 7th Phase, Bengaluru, Karnataka 560078",6.0,5.0,No,Real Estate Builders & Construction Company, Opens 9am Mon
Design HeightsT Civil Engineers and Contractors,,09448452970,"435, 15th Cross Rd, Vishwapriya Nagar, Begur, Bengaluru, Karnataka 560068",66.0,4.8,No,Civil engineering company, Opens 8:30am Sun
G2K HOME CONSTRUCTION,gkhomeconstruction.com,09538999535,"340 GPR Royal Layout,Huskur road, ph2, Electronic City, Bengaluru, Karnataka 560100",43.0,4.9,No,Home builder,
Sahana Engineers-construction,sahanaengineers.com,09845018483,"No.38/39/8, 2nd cross, Subramanya Pura Main Road Kadirenahalli, Banashankari Stage II, Bengaluru, Karnataka 560070",33.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Mon
SM Lakshmi Civil Contractor Pvt. Ltd. | Civil Contractor in Bangalore,smlcc.in,09606869776,"16, CK Palya Rd, Bannerghatta Rd, opp. to Auto stand, CK Palya, Bengaluru, Karnataka 560083",,,No,Real Estate Builders & Construction Company,
NT Constructions,,08073655139,"1869/D, Pipeline Rd, near Balamuri Ganapathi Temple, 2nd Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",,,No,Real Estate Builders & Construction Company, Opens 7am Sun
RK construction,,08197978297,"8/117, Kanakapura Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560082",26.0,4.9,No,Contractor,
Feature Constructions,featureconstructions.com,07034830451,"No-19, 3rd Cross Rd, Raghuvanahalli, Bangalore City Municipal Corporation Layout, Bengaluru, Karnataka 560062",35.0,4.8,No,Real Estate Builders & Construction Company,
Babaji constructions Civil and Interior Contractor,,08884882779,"No, Bengaluru, Karnataka 560043",5.0,5.0,No,Construction and maintenance office,
BuildBidz,buildbidz.in,07975919566,"Anjanadri Enclave, P&T Layout, Horamavu Agara, Kalyan Nagar, Bengaluru, Karnataka 560043",39.0,4.9,No,Real Estate Builders & Construction Company,
Vinayakaiah Builders & Developers Private Limited,vinayakaiah.com,09663332266,"6, Police Station Road, Balachandra Layout, Babusabpalya, Hennur Gardens, Bengaluru, Karnataka 560043",184.0,5.0,No,Real Estate Builders & Construction Company, Opens 9:30am Sun
P.K.Enterprises,pkenterprises.org,09483501860,"Ashirvad colony,1st main,4th 'A' cross, 57, Horamavu Main Rd, Banaswadi, Bengaluru, Karnataka 560043",17.0,5.0,No,Real Estate Builders & Construction Company,
"Manstonez Construction Company, Architects, Interior Designers in Bangalore",,08495888895,"Lakshmi Plaza 1st floor 416 5th Cross Outer Ring Road, Service Rd, Babusapalya, Bengaluru, Karnataka 560043",77.0,4.9,No,Real Estate Builders & Construction Company, Opens 9am Mon
Kap India projects & constructions Pvt. Ltd.,kapindia.in,04872250725,"401, 4th Main Rd, Pilla Reddy Nagar, OMBR Layout, Banaswadi, Bengaluru, Karnataka 560043",20.0,4.6,No,Real Estate Builders & Construction Company,
FourWallz,fourwallz.in,09207306000,"106/18, 1st A Cross Rd, Ex-Servicemen Colony, Banaswadi, Bengaluru, Karnataka 560043",2.0,4.5,No,Civil engineering company, Opens 10am Sun
AR Constructions - Best Construction Company in Bangalore,arconstructions.co.in,09900096776,"1047, 4th B Main Rd, HBR Layout 4th Block, HBR Layout, Bengaluru, Karnataka 560043",69.0,4.1,No,Real Estate Builders & Construction Company, Opens 2pm Sun
Aapt Creations LLP,aaptcreations.com,09980665813,"No-16 4th Cross Ventkateshappa Layout, Seethamma Road Kammanahalli, Bengaluru, Karnataka 560084",6.0,4.7,No,Real Estate Builders & Construction Company,
Royallinks Constructions Bangalore - House Construction Company,royallinks.in,09980643040,"First Floor 3rd Sector, No: 765,16th Main, 22nd Cross Rd, near HSR Club, HSR Layout, Bengaluru, Karnataka 560102",73.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Mon
HomeRafts construction,homerafts.com,07996600015,"240/2, Bethel Building, 1st Floor, Begur Rd, near st Francis school, Bengaluru, Karnataka 560068",13.0,5.0,No,Real Estate Builders & Construction Company,
BEST CONSTRUCTION COMPANY - MUCONS CONSTRUCTION (OPC) PRIVATE LIMITED,muconsconstruction.com,09535083580,"no. 52, 53, Begur - Hulimavu Rd, Bhagyalakshmi Avenue, Krishna Layout, Hulimavu, Bengaluru, Karnataka 560076",38.0,4.8,No,Real Estate Builders & Construction Company, Opens 8am Sun
Econstruct Design & Build Pvt Ltd,e-construct.in,09036744017,"2nd Floor, Venkatdhari Heights, Parappana Agrahara Main Rd, opposite SAI POORNA PREMIER, Kudlu, Sai Meadows, Apartment, Bengaluru, Karnataka 560068",229.0,4.0,No,Real Estate Builders & Construction Company,
Apsara Construction & Developers,apsaradevelopers.com,09845591221,"528, Begur Rd, near GOVT HOSPITAL, Maruthi Layout, VISHWAPRIYA LAYOUT, Begur, Bengaluru, Karnataka 560068",25.0,5.0,No,Real Estate Builders & Construction Company, Opens 10am Mon
NammaHome Infra & tech pvt Ltd | Home construction company in Bangalore | Turn-key construction company in bangalore,nammahome.co,08105337220,"1192/1, 2nd floor 22nd cross, 24th Main Rd, 2nd Sector, HSR Layout, Bengaluru, Karnataka 560102",28.0,5.0,No,Real Estate Builders & Construction Company,
Neel Building Demolishers - Building Demolition Contractors in Bangalore,neelinfra.com,09845535538,"5th Cross Rd, NGR Layout, Bommanahalli, Bengaluru, Karnataka 560068",80.0,4.9,No,Demolition contractor, Opens 9am Mon
Ganya Constructions,ganyaconstructions.com,08050798870,"103/1, Narayanappa Building, DC Halli Main Road, Bannerghatta Rd, Bilekahalli, Bengaluru, Karnataka 560076",30.0,4.9,No,Real Estate Builders & Construction Company, Opens 8am Mon
Sri Kalabhairveshwara Construction,,07348979999,"No 67, Begur Rd, near canra bank, Nanjundaiah Layout, Begur, Bengaluru, Karnataka 560068",2.0,5.0,No,Real Estate Builders & Construction Company, Opens 8am Sun
United Construction Company,,09902266371,"410, 3rd floor, NR Complex, 24th Main Rd, 2nd Sector, Parangi Palaya, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",2.0,4.9,No,Real Estate Builders & Construction Company,
ss construction.Turnkey Projects,,09740350307,"2nd Cross.Mega venture Layout,Near Fun GALAXY, Hulimangala Main Rd, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",12.0,4.9,No,Civil engineering company,
ss construction.Turnkey Projects,,09740350307,"2nd Cross.Mega venture Layout,Near Fun GALAXY, Hulimangala Main Rd, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",14.0,4.9,No,Civil engineering company, Opens 9am Sun
Studio PMP,studiopmp.in,09655599661,"36, 3rd Floor, 6th Main, Basapura Main Rd, Duo City Layout, Bengaluru, Karnataka 560100",14.0,4.9,No,Real Estate Builders & Construction Company,
KSM CONSTRUCTIONS,,09353999976,"#45/2, Kudlu, Jayapragathi Layout, Bengaluru, Karnataka 560068",141.0,4.9,No,Real Estate Builders & Construction Company, 12am 
Civil contractor Bangalore,,09632139901,"24, Near, Prestige Tech Park Rd, Devarabisanahalli, Varthur, Bengaluru, Karnataka 560103",,4.9,No,Civil engineering company,
Vrish Constructions,vrishconstructions.com,09980548880,"# 412 Nanjunda Reddy building, Doddamma Temple Rd, Bellandur, Bengaluru, Karnataka 560103",11.0,4.8,No,Real Estate Builders & Construction Company,
MD Associates,,09900455379,"1st floor, Bellandur JUNCTION, opp Central Mall Next to Udupi Hotel ,SAI SABURI COMPLEX, Bengaluru, Karnataka 560103",58.0,5.0,No,Civil engineering company, Opens 8am
Adi Parashakti Constructions Private Limited: Home Design Experts & Architects,apsdesignhub.in,09986534534,"No74/1, 1st floor, Outer Ring Rd, next to Apollo Clinic, Bellandur, Bengaluru, Karnataka 560103",14.0,5.0,No,Architecture firm,
Nambiar Builders,nambiarbuilders.com,08150844844,"Outer Ring Rd, Kadubeesanahalli, Bellandur, Bengaluru, Karnataka 560037",140.0,4.3,No,Real Estate Builders & Construction Company,
A P R Enterprises,,09900105006,"18/1B, H.M.R Complex, 2nd Floor, Kaikonrahalli, Bellandur Gate Rd, near DSR Daffodil, apt, Bengaluru, Karnataka 560103",4.0,5.0,No,Building consultant, Opens 9am Mon
MP Design and Constructions,,09880077221,"26B KPTCL road Kasavanahalli Off Sarjapur road Land mark: Bata showroom Srinidi apparent,SBI and, next to CITY MART, Bengaluru, Karnataka 560035",16.0,4.8,No,Civil engineering company,
Karna Sree Developers & Builders,karnasree.com,09035196004,"72\9 6th Floor,Bellandur Village & Post,Varthur, Hobli, Bengaluru, Karnataka 560103, Bengaluru, Karnataka 560037",40.0,3.8,No,Real Estate Builders & Construction Company,
Shisow Enterprises,shisowenterprise.com,07892845755,"SLNS photo studio, 418, RGR bulding, 3rd floor 7th cross, to, Opposit, Devarabisanahalli, Bengaluru, Karnataka 560103",25.0,5.0,No,Contractor, Opens 9am
Ace Geotech and Infra,acegeotech.com,08618664854,"Palm Ave, Green Glen Layout, Bellandur, Bengaluru, Karnataka 560103",127.0,5.0,No,Real Estate Builders & Construction Company,
Building Renovation & Building Demolition & Masonry Contractor & civil work & Building Contractor IN BANGALORE,youtube.com,09964880668,"03, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",302.0,4.8,No,Real Estate Builders & Construction Company, Opens 10am Mon
Theja Infracon Pvt Ltd,thejainfra.com,08042782513,"5th floor, Kaverappa Layout, No 79/1, f3 krishna residency, behind cisco, Kadubeesanahalli, Bengaluru, Karnataka 560103",4.0,4.7,No,Real Estate Builders & Construction Company,
Riyaz's Golden Key Construction,goldenkeyconstruction.in,09986478787,"83, 2nd Floor, G P Plaza, Marathahalli Outer Ring Rd, Bengaluru, Karnataka 560037",35.0,4.7,No,Real Estate Builders & Construction Company, Opens 9am Mon
Riyaz's Golden Key Construction,goldenkeyconstruction.in,09986478787,"83, 2nd Floor, G P Plaza, Marathahalli Outer Ring Rd, Bengaluru, Karnataka 560037",11.0,4.5,No,Real Estate Builders & Construction Company, Opens 8am
Aeon Building Solutions,,09632247199,"2nd Floor, 329, 27th Main Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",11.0,4.9,No,Real Estate Builders & Construction Company,
Global Constructions & Realtors,globalrealtor.co.in,09845207862,"Hennur Bagalur Main Rd, Rammana Layout, Byrathi, Bengaluru, Karnataka 560077",29.0,4.8,No,Real Estate Builders & Construction Company,
Vinayakaiah Builders & Developers Private Limited,vinayakaiah.com,09663332266,"6, Police Station Road, Balachandra Layout, Babusabpalya, Hennur Gardens, Bengaluru, Karnataka 560043",184.0,5.0,No,Real Estate Builders & Construction Company, Opens 9:30am
Royallinks Constructions Bangalore - House Construction Company,royallinks.in,09980643040,"First Floor 3rd Sector, No: 765,16th Main, 22nd Cross Rd, near HSR Club, HSR Layout, Bengaluru, Karnataka 560102",184.0,4.8,No,Real Estate Builders & Construction Company,
Abhivruddhi Construction,abhivruddhiconstruction.com,09844724192,"No. 36/11 , Ground Floor, Sahakara Nagar Main Rd, G Block, Bengaluru, Karnataka 560092",73.0,4.6,No,Real Estate Builders & Construction Company, Opens 10am
Abhivruddhi Construction,abhivruddhiconstruction.com,09844724192,"No. 36/11 , Ground Floor, Sahakara Nagar Main Rd, G Block, Bengaluru, Karnataka 560092",94.0,4.6,No,Real Estate Builders & Construction Company,
Nissi Constructions Mestri (Residential Building Contractor),,09008891443,"#496/B, Seegehalli Main Rd, Priyanka Nagar, Virgonagar, Post, Bengaluru, Karnataka 560049",94.0,4.6,No,Contractor, Opens 9:30am
Vinra Group - Construction | Interior | Real Estate,vinragroup.com,08884898765,"No-34-1 First Floor Promenade, Junction, Meanee Ave Rd, Sindhi Colony, Sivanchetti Gardens, Bengaluru, Karnataka 560042",51.0,4.8,No,Real Estate Builders & Construction Company,
Vinra Group - Construction | Interior | Real Estate,vinragroup.com,08884898765,"No-34-1 First Floor Promenade, Junction, Meanee Ave Rd, Sindhi Colony, Sivanchetti Gardens, Bengaluru, Karnataka 560042",129.0,4.4,No,Real Estate Builders & Construction Company, Opens 9:30am
Best construction company in bangalore,,09738983290,"2nd Cross, Hidayath Nagar, Lidkar Colony, Kadugondanahalli, Bengaluru, Karnataka 560045",9.0,4.6,No,Real Estate Builders & Construction Company,
Best construction company in bangalore,,09738983290,"2nd Cross, Hidayath Nagar, Lidkar Colony, Kadugondanahalli, Bengaluru, Karnataka 560045",9.0,4.6,No,Real Estate Builders & Construction Company, Opens 9:30am
Leo & Geo Constructions,sites.google.com,09916801283,"189, K Narayanapura Main Road, Dr. Shivaramakaranth nagar, post, Kothanur, Bengaluru, Karnataka 560077",9.0,4.6,No,Real Estate Builders & Construction Company, Opens 12am Mon
Leo & Geo Constructions,sites.google.com,09916801283,"189, K Narayanapura Main Road, Dr. Shivaramakaranth nagar, post, Kothanur, Bengaluru, Karnataka 560077",20.0,4.9,No,Real Estate Builders & Construction Company,
KP Constructions,kpconstructions.co.in,07299122551,"No 59/2, Kailasam, 5th Cross, Sai Baba Layout, Akash nagar, B.Narayanapura, Bengaluru, Karnataka 560016",20.0,4.9,No,Real Estate Builders & Construction Company, Opens 12am Mon
KP Constructions,kpconstructions.co.in,07299122551,"No 59/2, Kailasam, 5th Cross, Sai Baba Layout, Akash nagar, B.Narayanapura, Bengaluru, Karnataka 560016",6.0,5.0,No,Real Estate Builders & Construction Company,
KP Constructions,kpconstructions.co.in,07299122551,"No 59/2, Kailasam, 5th Cross, Sai Baba Layout, Akash nagar, B.Narayanapura, Bengaluru, Karnataka 560016",6.0,5.0,No,Real Estate Builders & Construction Company, Opens 10am
KEUPER CONSTRUCTIONS Pvt.Ltd.,keuper.co.in,09844019801,"44, Keuper Citadal,Blossoms Rd opp. SABC Bible College Hennur Bagalore Main Road, Post, Kothanur, Bengaluru, Karnataka 560077",6.0,5.0,No,Real Estate Builders & Construction Company,
Reddy Veeranna Construction P Ltd,,08022215152,"9/1, Second Floor, Richmond Rd, Classic Paradise Layout, Richmond Town, Bengaluru, Karnataka 560025",6.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Mon
Ordient Infra (Expert Architects & Construction Contractors),ordientinfra.com,09731847847,"3rd Floor, SVS Complex, above apollo tyres sepl, Bhattarahalli, Sannatammanahalli, Krishnarajapuram, Bengaluru, Karnataka 560049",1273.0,5.0,No,Real Estate Builders & Construction Company,
BRIO CONSTRUCTION SERVICES,brioconstruction.in,09739233116,"3, 1st floor, Seegehalli Main Rd, Bhattarahalli, Hosabasavanapura, Krishnarajapuram, Bengaluru, Karnataka 560049",9.0,5.0,No,Real Estate Builders & Construction Company, 12am 
Blessing Life Construction,blessinglifeconstruction.com,07259557300,"Ground floor site 350, shop #2, Seegehalli Main Rd, White City Layout, Bengaluru, Karnataka 560049",34.0,4.4,No,Real Estate Builders & Construction Company,
